No.,事業所名,主たる対象,所在地,生活介護,自立訓練,就労移行支援,就労継続Ａ型,就労継続Ｂ型,日中一時支援,地域活動支援センターⅢ型,ページ,事業所種別,法人名,所在地,電話,FAX,担当者名,URL,主たる対象,定員（生活介護）,定員（自立支援）,登録者数,平均年齢,男女比,送迎,平均工賃（生活介護）,平均工賃（自立訓練）,活動時間,スポーツ・文化施設,経度,緯度
13,グランツ遠藤,知,遠藤,○,,,,,,,15,生活介護,藤沢市遠藤2020-17,,0466-89-6770,0466-88-7710,眞﨑　貴幸,http://tomoni.or.jp/glanz,知的障がい者,30,,38,31.1,男性 24名　女性 14名　,湘南台～事業所,1142,,月～金曜日　午前9時～午後３時30分　（金曜日月2回　午前9時～午後1時30分）,"
・バームクーヘンの製造、販売
・企業からの受注作業
・余暇活動

",35.37759,139.444321
14,サポートセンターウィング,知,石川,○,,,,○,,,15,生活介護・就労継続支援B型,藤沢市石川6－18－15,,0466-86-0870,0466-86-5090,唐沢　樹,http://www.k5.dion.ne.jp/~sou2004,知的障がい者,生活介護　　３０,就労継続支援B型　１０,32,34,男性23 名　女性9 名,あり（生活介護のみ）,"生活介護5,000～7,000","就労継続支援B型10,000～12,000",月～金曜日　午前9時30分～午後4時,"・企業からの受注作業
　（養生マットの洗浄、割り箸の袋入れ、ペットボトルキャップの選別、チラシ入れ）
・自主製品の製作　（アイロンビーズを使用したマスコットなど）",35.389812,139.446609
15,湘南あおぞら,知,弥勒寺,○,,,,,,,16,生活介護・（施設入所支援）,藤沢市弥勒寺2－7－13,,0466－25－5551,0466－25－5556,石田　友基,http://www.f-ikusei.or.jp,知的障がい者,40,,48,47.1,男性27名　女性21名　,なし,490,,月～金曜日　午前9時30分～午後３時３０分,"・受注軽作業：アルミ剥がし、袋詰め作業
・自主製品：トートバック、ブラシ絵（ハガキ、メッセージカード他）
・生活介護（日中活動）のみの利用も可能",35.339619,139.501999
16,湘南セシリア,知,石川,○,,,,,,,16,生活介護・（短期入所・施設入所）,藤沢市石川4663,,0466-82-5755,0466-83-3719,鈴木　保志,http://www.f-ikusei.or.jp/network/sesiria.html,知的障がい者,40,,48,46,男性29名　女性19名　,なし,0,,月～金曜日　　午前9時30分～午後4時（生活介護）,"・自立課題（刺激の統制された空間で、わかりやすく伝える）
・善行団地マーケット内作業班「おりおん座」にて地域住民との交流
・創作活動（アイロンビーズetc…）
・余暇企画（祝日）",35.369339,139.459335
17,湘南むぎばたけ,知,善行,○,,,,,,,17,生活介護,藤沢市善行４－３６９０－１,,0466－81－1192,0466－81－6888,岸本　努,http://www.s-hibari.or.jp/mugibatake/,知的障がい者,40名,,39,32.5,男性23名　女性16名,"あり
（ポイント送迎含む）",2500,,月～金曜日（祝日は開館）　午前9時30分～午後３時30分,"・受注作業（新聞チラシの折込、小型電子機器解体等）
・農作業
・創作活動
・レクリエーション活動（季節の行事、日帰り旅行、その他外出活動）",35.373688,139.46843
18,湘南ゆうき村,知,西俣野,○,,,,,,,17,生活介護,藤沢市西俣野410,,0466－82－6400 　,0466－82－6780　,大久保　智史,http://www.f-ikusei.or.jp,知的障がい者,40,,50,38,男性31名　女性18名,あり（個別送迎）,500（変更の可能性あり）,,月～金曜日　午前10時～午後4時　（行事により、土曜利用日あり）,"（作業）　アルミ缶作業・アルミはがし・牛乳パック作業・エコキャップ仕分け作業・地域資源回収・個別軽作業
（サークル活動）　体操・音楽・音楽療法・創作
（行事）　日帰り旅行・収穫祭・クリスマス会・芋掘り・訪問理容",35.380096,139.486404
19,アポロ,知,本町,○,,,,,,,18,生活介護,藤沢市本町3－1－9　第一渡辺ビル102・201,,0466－55－5618 ,0466－99－5600　,石田　友基,http://www.f-ikusei.or.jp,知的障がい者,20,,16,35,男性1３名　女性３名,なし,300,,月～金曜日　午前10時～午後4時　（行事により、土曜利用日あり）,"（作業）　受注作業（ランプシェイド作成、部材の色塗り、チラシの折込）
・牛乳パック作業・ビーズ・なぎさの体験学習館ボランティア
（サークル活動）　創作・七宝焼・運動・音楽・音楽療法
（行事）　日帰り旅行・収穫祭・クリスマス会",35.342525,139.477142
20,太陽の家　藤の実学園,知,鵠沼海岸,○,,,,,,,18,生活介護,藤沢市鵠沼海岸6－6－12,,0466－33－1411,0466－34－4342,関　隆一,http://www.lfa.jp,知的障がい者,60,,63,37.1,男性43名　女性20名,"自宅～事業所（希望者のみ）
週１回程度","（年）2,300～2,500 ",,月～金曜日　午前9時～午後4時,"◎生活リズムの確立　体を動かすことによる心身のリフレッシュ
◎季節感を感じられる各種行事
・スポーツ、音楽的活動（歩行、体育館でのスポーツ、水泳（夏期のみ）、音楽、視聴覚）・作業的活動（切手、機織り、陶芸、牛乳パック）・創作的活動（レクリエーション、調理、創作）",35.327599,139.465164
21,よし介工芸館,知,遠藤,○,,,,,,,19,生活介護,藤沢市遠藤3225　,,0466－88－6722,0466－88－6766,儀保　治男,http://www.f-ikusei.or.jp/,知的障がい者,40,,58,44,男性30名　女性28名,自宅～事業所,640,,月～金曜日　午前9時30分～午後4時,"・軽作業（割り箸の袋詰め等）　・創作活動（絵画）
・各種展示会見学
・季節に合わせた外出
",35.390705,139.441299
22,ライフケアセンターまどか,重度重複障がい,辻堂元町,○,,,,,,,19,生活介護,藤沢市辻堂元町5-17-1,,0466-34-3550,0466-34-7727,岡田　君人,http://www.k5dion.ne.jp/～sou2004/madoka.html/,重度重複障がいの方,20,,21,36,男性11名　女性10名,自宅～事業所,"年3,000から5,000",,　月～金曜日　午前９時３０分～午後3時３０分,"・（紙すき・箸置き作り・ポストカード作り）
・レクリエーション活動 （音楽・感覚・創作活動・スポーツなど）
・リフレクソロジー、ストレッチなど
・PTによる運動指導",35.335434,139.459122
23,ケアセンターふわふわ,身体,石川,○,,,,,,,20,生活介護,藤沢市石川１－３１－３（主たる施設）/藤沢市石川2－26－14（従たる施設）,,52－6697（主）/53－9977（従）,52－6643（主）/53－9974（従）,深見　勝弘,http://habilis.jp,身体障がい者,（主）20名（従）10名,,33,32,男性18名　女性15名,施設所在地から半径10㎞以内の自宅等,（主）不確定（従）0,,月～金曜日　午前９時４５分～午後３時４５分," 主：割りばし作業・布製品のプリント作業・アクセサリー制作・作品制作・日中活動等
従：機材を使ったリハビリ・ジム・ヨガ・体操・ボッチャや卓球などのレク等 ",35.382374,139.454773
24,第2木曜クラブ,知,辻堂西海岸,○,,,,,,,20,生活介護,藤沢市辻堂西海岸　2-10-3-6,,0466-30-1747,0466-30-1747,浦島　裕恵,http://mokuyouclub.com,知的障がい者,20,,27,38.6,男性17名　女性10名,あり（相談）,5924,,月～金曜日　午前9時～午後3時　（休日不定期開所）,"・カフェ　ボードウォーク（そうじ、洗い物、接客、販売等）
・プラス（軽作業）
・ぐりぐり（軽作業、シルク糸の染色）
・その他の活動（体操、ヨガ、歌の会、ダンス　など）",35.325012,139.443909
25,アートスペースわかくさ,知,用田,○,,,,,,,21,生活介護,藤沢市用田602-3,,0466-49-5553,0466-49-5530,儀保　治男,http://www.f-ikusei.or.jp/,知的障がい者,20,,32,43,男性7名　女性25名　,有（自宅～事業所）,620,,月～金曜日　午前9時30分～午後4時,"・機織り作業
・ビーズ創作
・軽作業
・屋外活動",35.403702,139.413361
26,発達支援センター　リエール,発達・知,獺郷,○,,,,,,,21,生活介護,藤沢市獺郷1006,,0466-54-7961,0466-54-7962,石井　健太,http://www.lfa.jp,自閉症・発達障がい・知的障がい,20,,20,24.8,男性12名　女性8名,"自宅～事業所
※駅でのスポット送迎も実施",0,,月～金曜日　午前9時50分～午後4時,"・評価に基づき、個々の状況に沿った支援を行なっています。
・余暇活動 や行事（陶芸・ぬり絵・近隣清掃や田んぼでの田植えや稲刈り、サツマイモ堀など）をしています。
◎専門職（言語聴覚士、作業療法士）を配置しており、専門的な視点で評価を行ないます。
◎生活の基盤を大切にして実りある活動を心がけています。",35.388805,139.406433
27,PLAY　WORKS　リノア,身体・医療的ケア,大庭,○,,,,,,,22,生活介護・日中一時支援,藤沢市大庭６０１,,0466-53-9607,0466-53-9608,山賀千佳,http://www.laulae-linoa.com,身体障がい者、医療的ケア者,30,,24,19,男性14名　女性10名,自宅～事業所,（生活介護）不定期,（日中一時支援）0,"（生活介護）月曜日～金曜日（祝日含む）　９：００～１７：００
（日中一時支援）月曜日～金曜日（祝日含む）　１６：００～１７：３０","・事業運営に関わる業務（お弁当の受け取りと配達、買い物、パンフレットの組み立て、
   領収書の整理、洗車等）
・創作活動（にじみ絵、染め物）
・運動・リハビリ・入浴
・余暇活動（散歩、ピクニック、バーベキュー等）
・創作活動や余暇活動など集団活動を中心に実施",35.352188,139.45015
28,ふじさわ地域福祉事業所六会ひだまり,身体,亀井野,○,,,,,,,22,生活介護,藤沢市亀井野1511-1,,0466-54-9071,0466-90-9073,影山裕二,http://workers-coop.com/honbu/kanagawa/,身体障がい者,20,,6,19.5,男性3名　女性3名,あり,0,,月－金　　　午前10時　-　午後4時,"・軽作業（紙すき・アイロンビーズ等）
・街路清掃、ストレッチ、運動
・音楽活動や映画鑑賞など
・季節行事、遠足
・喫茶店業務（予定）入浴（予定）",35.386021,139.479004
29,湘南ジョイフル,知,高倉,○,,,,,,,23,生活介護,藤沢市高倉650-3,,0466-47-6108,0466-47-6138,大澤　健二・浅岡　健,http://www.f-ikusei.or.jp,知的障がい者,20,,7,47,男性4名　女性3名,なし,調整中,,月曜日～金曜日　午前9時30分～午後4時,"農作業（畑の草取り、野菜や果物の収穫等）
地域清掃（事業所周辺の清掃活動）
受注作業・軽作業
販売（パンや野菜の販売、外部の販売のお手伝い）
創作活動（季節に合わせた飾りの制作等）",35.414036,139.466827
30,ケアセンターあおぞら,身体・知・精,石川,○,○,,,,,,23,生活介護（共生型）,藤沢市石川1-3-1　フレックス湘南石川1階,,0466-52-6127,0466-52-6126,小宮山,https://shonancarestage.jp,身体障がい者・知的障がい者・精神障がい者,20,,15,―,男性14名　女性1名　,あり,0,,月曜日～金曜日9:30～15：30（祝日通常営業）,農園での野菜栽培、園芸,35.377823,139.454102
31,リガーレ,知,打戻,○,,,,○,,,24,就労継続支援B型・生活介護,藤沢市打戻1706,,0466-52-7497,0466-52-7496,杉山　幸大,https://www.yell-shonan.jp,知的障がい者,20,,17,36,男性8名　女性9名,あり,"就Ｂ　12,000","生活　  5,000～6,000",月～金　９時３０分～１６時００分,・企業からの受注作業（チラシの折込み・キャップ選別・封入作業等）　　　　　　　　・余暇活動（月二回リトミック）　　・野菜の収穫体験　　　　　・収穫祭　　　　・一日外出,35.399803,139.416458
32,みずき,知・精,高谷,,○,,,,,,24,自立訓練,藤沢市高谷１０８－１,,0466-99-3456,0466-99-5678,西前　英紀,http://www.fhp.or.jp/about/post-42.html,精神障がい者・知的障がい者,20,,23,40,男性8名　女性15名,なし,0,,午前１０時～午前11時30分　または　午後1時30分～午後3時,地域で生き生きと自分らしく過ごすために大切なことを、テーマ別に集団プログラムの中で学びます。具体的には①コミュニケーション②生活③リカバリー④食事・栄養⑤体力作りです。不定期でイベントも実施しています。個々の目標に沿って、本人と支援員が一緒に考えて個別支援計画を作り、目標達成に向けて取り組みます。,35.342087,139.503311
33,CocorportCollege 湘南藤沢キャンパス,身体・知・精・難,藤沢,,○,,,,,,25,自立訓練（生活訓練）,藤沢市藤沢1031　GRAFARE　FUJISAWA502,,0466-52-4973,0466-52-4975,蛯名真弓,https://www.cocorport.co.jp/,身体障がい者・知的障がい者・精神障がい者・難病患者,20,,12,22,男性7名　女性5名,なし ,0,,月・火・水・木・金 午前10時～午後3時 ,"CocorportCollegeでは、「たのしもう・みつけよう・ひろげよう」をテーマに個々に合わせた支援を行っています。
その中で、テーマ別の集合プログラム（①生活、②コミュニケーション、③研究、④イベント、⑤仕事）や個別訓練（軽作業スキルやPCなど）に取り組んでいただきます。",35.339081,139.481735
34,aosora湘南台,身体・知・精,湘南台,,○,,,,,,25,自立訓練（生活訓練）,藤沢市湘南台1-1-6湘南台駅前クリニックビル5FA号室,,0466-21-9254,0466-21-9255,大谷　和美,製作中,精神障がい者・知的障がい者・身体障がい者,20,,8,約39,男性5名　女性3名,なし ,0,,10：00～15：00 ,"・LST(ライフスキルトレーニング) 　・手話(脳トレ指文字など)
・ウォーキング　・パソコンスキル
・一般常識(マナー講座等)　・自助ミーティング
・美術　・SST(ソーシャルスキルトレーニング)
・その他レクレーション",35.397835,139.467178
35,福祉コミュニティカフェ　亀吉　Mammamia,身体・知・精・高・難・若年生認知症,鵠沼海岸,,,○,,○,,,26,就労移行支援・就労継続支援B型,藤沢市鵠沼海岸 7－5－30,,0466－62－0077,0466－62－0078,井上,http://slt.tanemaki.fun,身体障がい者・知的障がい者・精神障がい者・高次脳・難病患者・若年性認知症,就労移行　　６名,就労継続B　14名,30,35,男性6名　女性24名,要相談,35304,,月～土曜日　AM７：００～PM３：３０（好きな時間で）, 本格ピザやお弁当の調理、ケーキやクッキーなどのお菓子作り、接客、犬用ジャーキー作りをお仕事にできます。就労移行支援は就職率 66％と高く、法人内で就職された方もいらっしゃいます。福利厚生としておいしい食事が10円（利用時間による)、さらに販売物は半額 で購入できます。イベントや出店を通じて地域の方々と交流をし、お仕事への不安を生活相談 やカウンセリングで解消し、楽しくチャレンジできる環境で皆さんの能力をのばしていきます。,35.327103,139.467926
36,ハートピア湘南,知,善行,,,○,,○,,,26,就労移行支援・就労継続支援B型,藤沢市善行4-3689-1,,0466-81-1188,0466-81-1700,山口　彰一,http://www.s-hibari.or.jp,知的障がい者,"就労移行　10名
就労継続B　40名",,54,41,男性46名　女性8名,あり,35000,,月～金曜日　　午前9時～午後4時,"・クリーニング作業　（タオル、シーツ等の仕上げ）
・施設外清掃　（企業内の廊下、トイレ等の清掃、公園内の除草作業）
・施設外作業（企業内でのダンボール解体）
・受注作業　（ダンボール組立て、部品の分解、検品等）",35.373688,139.46843
37,みらい社,知,石川,,,○,,○,,,27,就労移行支援・就労継続支援B型,藤沢市石川4662,,0466－83－6481,0466－83－6483,鈴木　保志,http://www.f-ikusei.or.jp/,知的障がい者,就労移行　　６名,就労継続B　3４名,43,36,男性37名　女性6名　,なし,就労移行　   　8496,就労継続B　   25136,月～金曜日（祝日も可動）　　午前9時～午後5時,"・企業などからの受注作業（梱包作業、電子部品の解体、ダンボール素材の組み立て、書類のPDF化作業） ・施設外での就労訓練（清掃、洗濯、公園内の除草・清掃）
・パン製造、販売（店頭・保育園・市庁舎・わくわく広場・江の島フィッシャーマンズマルシェ）、焼き菓子製造販売
・施設内行事（日帰り旅行、忘年会）※希望者のみ",35.369339,139.459335
38,ライフ湘南,知,遠藤,,,○,,○,,,27,就労移行支援・就労継続支援B型,藤沢市遠藤642－6,,0466-86-6563,0466-87-2044,相原　佐登美,http://www.lfa.jp,知的障がい者,就労移行　　６名,就労継続B　54名,"就労移行　5名
就労継続B　64名",就労移行　　19歳,男性49名　女性20名,なし,17445円,,月～金曜日　午前9時～午後3時,"・喫茶･厨房（給食業務、喫茶店、お弁当製造、配食サービス等） ・製パン　（菓子パン・食パン等の製造、各種バザーでの販売） ・製麺　（自家製生うどんの製造、各種バザーでの販売） ・とうふ　（厳選された豆乳を使ったとうふの製造、各種バザーでの販売） ・清掃　（施設・企業等の清掃、その他ワックス掛け等） ・軽作業（企業からの受注作業：箱組立、ポスティング、除草作業等）
",35.368977,139.434296
39,藤沢ひまわり・第１藤沢ひまわり,精,西俣野,,,○,,○,,,28,就労移行支援・就労継続支援B型,藤沢市西俣野1925-3,,0466-82-4384,0466-54-8879,関　友明,https://www.fujisawa-himawari.com/,精神障がい者,就労移行　　11名,就労継続B　２7名,就労移行　　14名,就労移行　　35.1歳,就労移行　男性10名　女性4名,なし,"就労移行　   13,000","就労継続B　   4,908","月～金曜日　午前9時～午後4時
第1土曜日　　午前9時～正午","【就労移行支援】　就労プログラム・就労準備性向上プログラム（履歴書記入、
面接ロールプレイ、就労準備性の自己確認）・企業からの受注作業（紙製品加工、
病院機関紙発送、軽作業等）・レクリエーション等
【就労継続支援Ｂ型】生活リズムの確立・就労準備・日中活動の場・企業からの受注作業（紙製品加工、病院機関紙発送、軽作業等）・レクリエーション等",35.375092,139.48526
40,Cocorport湘南藤沢Office,身体・知・精・難,鵠沼石上,,,○,,,,,28,就労移行支援,藤沢市鵠沼石上1-5-4　大樹生命ビルディング2Ｆ,,0466－54－8237,0466－54－8236,岡　茜,https://www.cocorport.co.jp/,身体障がい者・知的障がい者・精神障がい者・難病患者,20,,29,31,男性15名　女性14名,なし,－,,月・火・水・金・土曜日・祝日 午前10時～午後3時　木曜日のみ午前10時～正午,"各種プログラム（PCスキル・ビジネスマナー・体力向上・模擬就労・就職活動・ソーシャルスキルトレーニング・農作業・ダンス等）
個別訓練、余暇活動、企業見学、職場実習、面接同行、就職後の定着支援",35.336388,139.489929
41,Cocorport湘南辻堂Office,身体・知・精・難,辻堂神台,,,○,,,,,29,就労移行支援,藤沢市辻堂神台1-3-39　オザワビル６０６,,0466ｰ53ｰ7231,0466-53-7232,小林　幸恵,https://www.cocorport.co.jp/,身体障がい者・知的障がい者・精神障がい者・難病患者,20,,27,36,男性16名　女性11名,なし,－,,　月～土曜日　午前10時～午後3時／木　午前10時～正午　（土曜日は余暇活動）,"・ＰＣトレーニング・ビジネスマナープログラム・就職プログラム・模擬就労
・ウォーキング・ヨガ等の運動 ・個別訓練（軽作業・EGラーニング等）
・企業見学　職場実習　面接同行　就職後の職場定着支援
障がいのある方が就労に向けトレーニングを行い、社会に出て必要な知識やスキルを習得し、就労後しっかり定着できるよう、支援しております。",35.338615,139.447388
42,ミラトレ藤沢,身体・知・精,南藤沢,,,○,,,,,29,就労移行支援,藤沢市南藤沢４－３　日本生命南藤沢ビル１階,,0466ｰ55ｰ2888,0466-55-2889,橋口　正平,,身体障がい者・知的障がい者・精神障がい者,20,,30,39,男性19名　女性11名　,なし,0,,　月～金曜日　午前10時～午後４時　（月１回程度、休日開所）,・臨床心理士による相談　・講座（メンタルケア、生活、ビジネスマナー、就活、パソコン）　・疑似就労（事務職体験、軽作業、事務補助体験）　　・一般職業適性検査　・職業能力検査　・企業見学、実習　・就職セミナー　・家族会　・企業説明会,35.338017,139.48967
43,神奈川ワークショップ,身体･知,獺郷,,,○,○,○,,,30,就労移行支援・就労継続支援A型・就労継続支援B型,藤沢市獺郷1008－1,,0466-48-1503,0466-48-1504,高野　英夫,http://www.lfa.jp/,身体障がい者・知的障がい者,"就労移行 ６名、就労継続A 10名
就労継続B ６０名　　合計７６名",,"就労移行 6名、就労継続A 11名
就労継続B 66名","就労移行 20歳　就労継続A 4９歳
就労継続B 39歳","就労移行　　男性5名　女性1名  
就労継続Ａ　男性10名　女性1名
就労継続Ｂ　男性50名　女性16名",送迎あり（一部）,"就労Ａ 75,662円 就労Ｂ 25,416円","就労移行 21,342円",月～金曜日・月2日土曜日開所　午前9時15分～午後3時15分,・点字印刷（広報誌等の点字版の作成）・オフセット印刷（名刺・封筒・冊子・チラシ等の印刷・版作成・PCによる文字入力等）・製パン（菓子パン等の製造・販売）・軽作業（下請け作業全般・ボールペン組み立て・封入作業・電子機器の組み立て等）・テーププリント（広報誌等のテープ版・CD版・デイジー版等の作成・ダビング作業）・農作業（農作物の栽培・農業体験の実施）,35.385864,139.407501
44,ウェルビー藤沢センター,身体・知・精・難,鵠沼花沢町,,,○,,,,,30,就労移行支援,藤沢市鵠沼花沢町１３－９　ハナザワビル2階,,0466-29-2921,0466-29-2922,萩原　友香,http://www.welbe.co.jp,身体障がい者・知的障がい者・精神障がい者・難病患者,20,,30,35.7,男性18名　女性12名,なし,0,,"月、火、木、金、土曜日・祝日開所　午前１０時～午後４時
活動 水曜日　午前10時～午後2時","・PC訓練（在宅訓練対応）、豊富な軽作業、ビジネスマナー講座、グループワーク、就職活動、模擬職場訓練　様々なカリキュラム
・利用者主体としたリフレッシュ、イベント等の実施
・企業見学会や外部講師を招いての就職セミナー等、定期的に就職に関するイベントを実施",35.337894,139.483856
